2025-04-03 00:51:54.059 | DEBUG    | __main__:_mineru_poll_for_zip_url:165 - Polling Mineru task status for batch d3a3f548-2225-4b55-a5a1-af6a283af985 (Arbius A Decentralized Machine Learning Network w_1.pdf)
2025-04-03 00:51:54.753 | DEBUG    | __main__:_mineru_upload_file:151 - Successfully uploaded LAMMbert.pdf via pre-signed URL
2025-04-03 00:51:54.754 | DEBUG    | __main__:_mineru_poll_for_zip_url:165 - Polling Mineru task status for batch acb5480b-582f-411b-a48d-5fc6038684c2 (LAMMbert.pdf)
2025-04-03 00:51:55.784 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch acb5480b-582f-411b-a48d-5fc6038684c2 (attempt 1/25): state=pending
2025-04-03 00:51:55.827 | DEBUG    | __main__:_mineru_upload_file:151 - Successfully uploaded AnyHedge Whitepaper.pdf via pre-signed URL
2025-04-03 00:51:55.828 | DEBUG    | __main__:_mineru_poll_for_zip_url:165 - Polling Mineru task status for batch f6887e9d-54cb-42c2-9fcf-8edecd6e73e8 (AnyHedge Whitepaper.pdf)
2025-04-03 00:51:56.046 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch d3a3f548-2225-4b55-a5a1-af6a283af985 (attempt 1/25): state=pending
2025-04-03 00:51:56.454 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc (attempt 1/25): state=pending
2025-04-03 00:51:56.509 | DEBUG    | __main__:_mineru_upload_file:151 - Successfully uploaded Drift dAMM deep dive.pdf via pre-signed URL
2025-04-03 00:51:56.510 | DEBUG    | __main__:_mineru_poll_for_zip_url:165 - Polling Mineru task status for batch 2981ea60-96e2-4540-9fa6-1db5f2fc2848 (Drift dAMM deep dive.pdf)
2025-04-03 00:51:56.804 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch f6887e9d-54cb-42c2-9fcf-8edecd6e73e8 (attempt 1/25): state=waiting-file
2025-04-03 00:51:57.533 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2981ea60-96e2-4540-9fa6-1db5f2fc2848 (attempt 1/25): state=pending
2025-04-03 00:52:08.821 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch acb5480b-582f-411b-a48d-5fc6038684c2 (attempt 2/25): state=running
2025-04-03 00:52:09.189 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch d3a3f548-2225-4b55-a5a1-af6a283af985 (attempt 2/25): state=done
2025-04-03 00:52:09.189 | INFO     | __main__:_mineru_poll_for_zip_url:181 - Mineru processing finished for batch d3a3f548-2225-4b55-a5a1-af6a283af985
2025-04-03 00:52:09.190 | DEBUG    | __main__:_download_extract_and_convert:245 - Downloading result zip from https://cdn-mineru.openxlab.org.cn/pdf/00ff79fd-ae4e-493d-92f0-ac836d08bad3.zip
2025-04-03 00:52:09.565 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc (attempt 2/25): state=running
2025-04-03 00:52:09.930 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch f6887e9d-54cb-42c2-9fcf-8edecd6e73e8 (attempt 2/25): state=running
2025-04-03 00:52:10.631 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2981ea60-96e2-4540-9fa6-1db5f2fc2848 (attempt 2/25): state=running
2025-04-03 00:52:15.334 | DEBUG    | __main__:_download_extract_and_convert:252 - Extracting zip result.zip to /tmp/mineru_Arbius A Decentralized Machine Learning Network w_1_m5qt4zzv/extracted
2025-04-03 00:52:15.338 | DEBUG    | __main__:_run_pandoc_conversion:206 - Preparing Pandoc conversion for Arbius A Decentralized Machine Learning Network w_1.epub
2025-04-03 00:52:15.338 | DEBUG    | __main__:_run_pandoc_conversion:221 - Running Pandoc: pandoc /tmp/mineru_Arbius A Decentralized Machine Learning Network w_1_m5qt4zzv/temp_full.md -o /home/pimania/ebooks/epubArticles/Arbius A Decentralized Machine Learning Network w_1.epub --webtex=https://latex.codecogs.com/svg.latex? -f markdown_github+tex_math_single_backslash+tex_math_dollars --embed-resources --standalone --resource-path /tmp/mineru_Arbius A Decentralized Machine Learning Network w_1_m5qt4zzv/extracted --split-level=1 --epub-title-page=false
2025-04-03 00:52:21.819 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch acb5480b-582f-411b-a48d-5fc6038684c2 (attempt 3/25): state=running
2025-04-03 00:52:22.516 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2f4193ec-38bb-4ad4-ae99-86989e892ebc (attempt 3/25): state=running
2025-04-03 00:52:22.891 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch f6887e9d-54cb-42c2-9fcf-8edecd6e73e8 (attempt 3/25): state=running
2025-04-03 00:52:23.555 | DEBUG    | __main__:_mineru_poll_for_zip_url:172 - Polling batch 2981ea60-96e2-4540-9fa6-1db5f2fc2848 (attempt 3/25): state=running
2025-04-03 00:52:26.959 | WARNING  | __main__:_run_pandoc_conversion:230 - Pandoc stderr (warnings) for Arbius A Decentralized Machine Learning Network w_1.epub: [WARNING] Deprecated: markdown_github. Use gfm instead.
[WARNING] This document format requires a nonempty <title> element.
  Defaulting to 'temp_full' as the title.
  To specify a title, use 'title' in metadata or --metadata title="...".
2025-04-03 00:52:26.960 | DEBUG    | __main__:_run_pandoc_conversion:233 - Pandoc conversion successful for Arbius A Decentralized Machine Learning Network w_1.epub
2025-04-03 00:52:26.961 | INFO     | __main__:_run_pdf_to_epub_conversion:273 - Successfully converted Arbius A Decentralized Machine Learning Network w_1.pdf -> Arbius A Decentralized Machine Learning Network w_1.epub
2025-04-03 00:52:26.961 | INFO     | __main__:_run_pdf_to_epub_conversion:266 - Starting conversion: Panoptic the perpetual oracle-free options proto.pdf -> Panoptic the perpetual oracle-free options proto.epub
